"","Ind_ID","label","GENDER","Car_Owner","Propert_Owner","CHILDREN","Annual_income","Type_Income","EDUCATION","Marital_status","Housing_type","Birthday_count","Employed_days","Mobile_phone","Work_Phone","Phone","EMAIL_ID","Type_Occupation","Family_Members"
"971",5067926,0,"F","N","Y",0,112500,"Pensioner","Secondary / secondary special","Widow","House / apartment",-22743,365243,1,0,0,0,"",1
"1073",5041355,0,"M","Y","Y",0,121500,"Pensioner","Higher education","Married","House / apartment",-24261,365243,1,0,1,0,"",2
"671",5118026,0,"F","N","N",0,315000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-13630,-3230,1,0,1,0,"High skill tech staff",2
"1359",5125277,0,"F","N","Y",1,90000,"Working","Secondary / secondary special","Married","House / apartment",-16280,-3694,1,0,0,1,"Sales staff",3
"501",5041980,0,"F","N","N",0,211500,"Commercial associate","Higher education","Married","With parents",-14636,-4690,1,1,1,0,"Laborers",2
"1500",5038582,0,"F","N","Y",0,112500,"Pensioner","Secondary / secondary special","Married","House / apartment",-24327,365243,1,0,0,0,"",2
"454",5023186,0,"M","Y","Y",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-17235,-2700,1,0,1,0,"Core staff",2
"419",5149319,0,"F","Y","Y",1,180000,"Working","Higher education","Separated","House / apartment",-18838,-5981,1,0,0,0,"Managers",2
"985",5118477,0,"F","N","Y",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-17386,-888,1,0,0,0,"Laborers",2
"680",5117331,0,"F","Y","Y",0,270000,"Commercial associate","Secondary / secondary special","Separated","House / apartment",-15027,-2257,1,0,1,0,"Sales staff",1
"757",5114342,0,"M","Y","N",0,180000,"Commercial associate","Secondary / secondary special","Married","Municipal apartment",-9810,-2993,1,1,0,0,"",2
"421",5095170,0,"M","Y","Y",0,252000,"Commercial associate","Higher education","Married","House / apartment",-13796,-2682,1,0,0,0,"Drivers",2
"236",5090549,0,"F","N","Y",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-15241,-2531,1,0,0,0,"",2
"1201",5053293,0,"F","N","Y",0,76500,"Pensioner","Secondary / secondary special","Married","Municipal apartment",-20382,365243,1,0,0,0,"",2
"1169",5088279,0,"F","N","N",0,67500,"Working","Secondary / secondary special","Married","House / apartment",-20075,-7013,1,1,1,0,"Sales staff",2
"1314",5056179,0,"F","N","Y",0,202500,"Commercial associate","Higher education","Married","House / apartment",-9663,-218,1,0,0,0,"",2
"318",5050853,0,"M","N","N",0,180000,"Commercial associate","Higher education","Single / not married","House / apartment",-9488,-1505,1,0,0,0,"High skill tech staff",1
"247",5117314,0,"M","N","Y",1,292500,"Working","Secondary / secondary special","Married","House / apartment",-16632,-1679,1,0,0,0,"Laborers",3
"1062",5069066,0,"M","N","Y",0,202500,"Working","Secondary / secondary special","Single / not married","House / apartment",-9743,-3093,1,0,0,0,"Laborers",1
"242",5126034,0,"F","Y","Y",0,108000,"Working","Secondary / secondary special","Separated","House / apartment",-17171,-925,1,0,0,1,"Cleaning staff",1
"1325",5125710,0,"F","Y","Y",0,135000,"Working","Lower secondary","Married","House / apartment",-16413,-622,1,0,1,0,"High skill tech staff",2
"990",5067262,0,"F","Y","Y",0,270000,"Working","Secondary / secondary special","Married","House / apartment",-19982,-1724,1,0,1,0,"",2
"928",5142815,0,"M","Y","N",0,126000,"Commercial associate","Incomplete higher","Married","House / apartment",-10359,-2906,1,0,1,0,"Laborers",2
"978",5088450,0,"F","N","Y",0,157500,"State servant","Secondary / secondary special","Widow","House / apartment",-22887,-2052,1,0,1,0,"Drivers",1
"947",5139859,0,"M","Y","Y",0,189000,"Pensioner","Secondary / secondary special","Separated","House / apartment",-20011,365243,1,0,0,0,"",1
"1524",5132784,0,"M","Y","Y",0,112500,"Working","Secondary / secondary special","Single / not married","House / apartment",-8854,-195,1,1,0,0,"Laborers",1
"827",5058281,0,"F","N","Y",0,306000,"Commercial associate","Higher education","Married","House / apartment",-14897,-3435,1,1,1,1,"",2
"1468",5113401,0,"M","Y","Y",0,450000,"Commercial associate","Higher education","Single / not married","House / apartment",-10837,-588,1,0,0,1,"Sales staff",1
"384",5115797,0,"F","N","Y",1,135000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-14578,-7346,1,0,0,0,"Laborers",2
"227",5028917,0,"F","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-17202,-1787,1,0,0,0,"Sales staff",2
"601",5053872,0,"M","Y","Y",1,157500,"Working","Secondary / secondary special","Married","House / apartment",-11627,-2128,1,0,0,0,"",3
"279",5116018,0,"F","Y","Y",0,450000,"Pensioner","Higher education","Widow","House / apartment",-22083,365243,1,0,1,0,"",1
"1336",5142529,0,"M","N","Y",0,225000,"State servant","Higher education","Married","House / apartment",-9006,-164,1,0,0,0,"",2
"824",5117219,0,"F","N","Y",0,202500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-11107,-1953,1,0,0,0,"Core staff",2
"373",5118448,0,"F","N","N",1,76500,"Working","Secondary / secondary special","Married","House / apartment",-10080,-735,1,1,0,0,"Sales staff",3
"1135",5116643,0,"F","N","Y",0,261000,"Working","Secondary / secondary special","Married","House / apartment",-20047,-2559,1,0,0,0,"Laborers",2
"1142",5126308,0,"F","N","N",0,112500,"Working","Higher education","Single / not married","Co-op apartment",-12788,-531,1,1,1,0,"Core staff",1
"215",5115984,0,"M","Y","Y",2,180000,"Working","Higher education","Married","House / apartment",-13174,-2477,1,0,0,0,"Managers",4
"593",5092265,0,"M","N","Y",0,112500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-17837,-351,1,0,0,0,"Security staff",2
"1176",5094884,0,"M","N","Y",0,450000,"Commercial associate","Secondary / secondary special","Single / not married","With parents",-10363,-1282,1,0,0,0,"Managers",1
"612",5135530,0,"F","Y","Y",0,99000,"Pensioner","Secondary / secondary special","Married","House / apartment",-21014,365243,1,0,0,0,"",2
"763",5116343,0,"M","Y","Y",1,225000,"State servant","Secondary / secondary special","Married","House / apartment",-11695,-3929,1,1,0,0,"Laborers",3
"881",5022189,0,"F","N","N",1,135000,"Commercial associate","Secondary / secondary special","Separated","House / apartment",-15170,-7979,1,0,0,0,"High skill tech staff",2
"430",5149353,0,"M","Y","Y",0,NA,"Commercial associate","Higher education","Married","House / apartment",-12208,-3273,1,0,0,0,"Accountants",2
"910",5115957,0,"F","Y","Y",0,180000,"Working","Secondary / secondary special","Widow","House / apartment",-15494,-4304,1,0,0,0,"Sales staff",1
"1382",5036474,0,"M","Y","N",2,180000,"Commercial associate","Higher education","Married","House / apartment",-15716,-2673,1,0,0,0,"Managers",4
"1423",5112738,0,"M","Y","Y",0,315000,"Working","Higher education","Married","House / apartment",-18335,-2796,1,0,0,0,"Drivers",2
"936",5105412,0,"F","N","Y",2,135000,"Working","Secondary / secondary special","Married","House / apartment",-12760,-1518,1,0,0,0,"",4
"1296",5091564,0,"F","Y","Y",1,135000,"Working","Secondary / secondary special","Married","House / apartment",-14935,-1753,1,0,1,0,"Sales staff",3
"838",5149484,0,"F","Y","Y",1,135000,"Commercial associate","Higher education","Married","House / apartment",-11278,-2481,1,0,0,0,"",3
"1030",5146429,0,"M","Y","N",0,261000,"Commercial associate","Incomplete higher","Civil marriage","With parents",-8897,-674,1,0,0,0,"Sales staff",2
"1489",5068367,0,"F","Y","Y",1,270000,"Working","Secondary / secondary special","Married","House / apartment",-14084,-3246,1,0,0,0,"Laborers",3
"792",5009908,0,"M","Y","N",0,202500,"Working","Secondary / secondary special","Married","House / apartment",-19120,-3661,1,0,0,0,"Drivers",2
"1461",5022156,0,"F","Y","Y",2,180000,"Commercial associate","Higher education","Married","House / apartment",-11719,-2866,1,0,1,1,"",4
"533",5058267,0,"M","N","N",1,225000,"Commercial associate","Secondary / secondary special","Married","With parents",-17868,-1912,1,0,0,0,"Drivers",3
"716",5028726,0,"M","N","Y",0,360000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-12483,-4039,1,0,0,0,"Managers",2
"180",5113717,0,"F","N","N",1,135000,"Working","Secondary / secondary special","Married","House / apartment",-16415,-3054,1,0,0,1,"Private service staff",3
"673",5010567,0,"F","Y","Y",0,121500,"Working","Higher education","Married","House / apartment",-10145,-1682,1,0,0,1,"Sales staff",2
"1398",5067242,0,"F","Y","Y",0,391500,"Working","Secondary / secondary special","Married","House / apartment",-16995,-7264,1,0,0,0,"Core staff",2
"524",5146401,0,"F","N","Y",0,112500,"Working","Secondary / secondary special","Separated","House / apartment",-19682,-2104,1,1,0,0,"Cleaning staff",1
"1251",5148915,0,"M","Y","N",2,225000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-14636,-3850,1,0,0,0,"",4
"676",5036187,0,"F","Y","Y",1,157500,"Pensioner","Secondary / secondary special","Married","House / apartment",-20661,365243,1,0,1,0,"",3
"643",5061611,0,"M","Y","Y",1,225000,"Working","Secondary / secondary special","Married","House / apartment",-11378,-867,1,0,1,0,"Drivers",3
"271",5096796,0,"M","Y","Y",0,337500,"Working","Higher education","Separated","House / apartment",-13188,-584,1,0,0,0,"Laborers",1
"1488",5114240,0,"F","N","N",0,270000,"Working","Secondary / secondary special","Married","House / apartment",-16723,-712,1,1,0,0,"Managers",2
"1367",5010995,0,"F","N","Y",0,90000,"Working","Secondary / secondary special","Married","House / apartment",-20074,-221,1,0,0,0,"Medicine staff",2
"797",5035627,0,"M","Y","Y",0,337500,"Working","Higher education","Married","House / apartment",-18110,-6764,1,0,0,0,"Managers",2
"1358",5132329,0,"F","N","N",0,135000,"Pensioner","Secondary / secondary special","Married","House / apartment",-22752,365243,1,0,0,0,"",2
"717",5033831,0,"M","Y","Y",0,135000,"Working","Higher education","Civil marriage","House / apartment",-19322,-663,1,1,1,0,"Laborers",2
"578",5142579,0,"F","Y","Y",1,234000,"Working","Secondary / secondary special","Single / not married","House / apartment",-20668,-2844,1,0,0,0,"",2
"445",5137292,0,"M","Y","N",1,225000,"Working","Secondary / secondary special","Married","House / apartment",-15243,-7260,1,1,1,0,"High skill tech staff",3
"398",5135574,0,"F","Y","Y",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-11749,-992,1,0,0,0,"Medicine staff",2
"245",5046415,0,"M","Y","Y",0,270000,"Working","Higher education","Married","House / apartment",-14466,-1569,1,0,1,0,"",2
"401",5029108,0,"M","Y","N",1,315000,"State servant","Secondary / secondary special","Married","House / apartment",-13230,-3643,1,0,0,1,"High skill tech staff",3
"1541",5024049,0,"F","Y","Y",1,144000,"Working","Higher education","Married","House / apartment",-12903,-2924,1,0,0,0,"Accountants",3
"1164",5117254,0,"F","Y","Y",0,207000,"State servant","Higher education","Married","House / apartment",-22398,-3506,1,0,0,0,"Medicine staff",2
"379",5105657,0,"F","Y","Y",2,540000,"Working","Higher education","Single / not married","House / apartment",-14160,-422,1,0,1,1,"",3
"218",5140074,0,"F","N","Y",0,90000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-15124,-431,1,0,0,0,"Core staff",2
"1286",5044669,0,"F","N","Y",0,76500,"Pensioner","Secondary / secondary special","Married","House / apartment",NA,365243,1,0,0,0,"",2
"1300",5089556,0,"F","Y","N",0,NA,"Working","Incomplete higher","Single / not married","House / apartment",-11406,-3078,1,1,0,0,"Managers",1
"1332",5037088,0,"F","N","Y",0,81000,"Pensioner","Secondary / secondary special","Married","House / apartment",-21490,365243,1,0,0,0,"",2
"1525",5048458,0,"F","Y","Y",1,126000,"Working","Higher education","Married","House / apartment",-9441,-157,1,0,0,0,"",3
"1026",5062294,0,"F","Y","Y",0,225000,"Working","Higher education","Married","House / apartment",-17795,-2450,1,0,0,1,"Managers",2
"709",5022954,0,"M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-18293,-521,1,1,0,0,"",2
"820",5095586,0,"F","N","N",0,270000,"Working","Incomplete higher","Civil marriage","House / apartment",-8784,-278,1,1,0,1,"Medicine staff",2
"906",5025791,0,"F","N","Y",0,157500,"Working","Secondary / secondary special","Married","House / apartment",-18506,-3630,1,0,0,0,"Core staff",2
"1434",5062016,0,"F","N","N",0,180000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-11342,-2389,1,0,0,0,"",1
"1161",5117605,0,"F","N","N",0,157500,"Working","Higher education","Married","House / apartment",-14098,-2257,1,0,0,0,"Core staff",2
"231",5033817,0,"F","Y","N",1,292500,"State servant","Higher education","Married","House / apartment",-16010,-2667,1,0,1,0,"Core staff",3
"1415",5091369,0,"M","Y","Y",0,247500,"Working","Secondary / secondary special","Married","House / apartment",-15366,-1266,1,1,1,0,"Drivers",2
"880",5117392,0,"F","N","N",0,135000,"Commercial associate","Incomplete higher","Single / not married","House / apartment",-17615,-339,1,0,0,0,"Accountants",1
"812",5079017,0,"M","Y","Y",2,9e+05,"Commercial associate","Higher education","Married","House / apartment",-9889,-1000,1,0,0,0,"Managers",4
"463",5068548,0,"M","Y","Y",0,117000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-19351,-1023,1,0,0,0,"Laborers",2
"338",5009739,0,"F","Y","N",0,99000,"Working","Secondary / secondary special","Married","House / apartment",-14657,-4392,1,1,1,0,"Core staff",2
"515",5062031,0,"F","Y","Y",0,225000,"Working","Higher education","Single / not married","House / apartment",-9688,-593,1,0,1,1,"",1
"1023",5021293,0,"F","Y","Y",1,180000,"Commercial associate","Higher education","Married","House / apartment",-11901,-183,1,0,0,1,"Core staff",3
"1032",5054407,0,"M","N","N",0,225000,"Commercial associate","Higher education","Married","With parents",-13021,-5082,1,1,0,0,"Managers",2
"1128",5095020,0,"F","N","Y",0,225000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-13046,-671,1,0,0,0,"",2
"805",5029538,0,"F","N","Y",0,112500,"Working","Higher education","Civil marriage","House / apartment",-12783,-1205,1,0,0,0,"Core staff",2
"808",5009146,0,"M","Y","N",0,315000,"Working","Higher education","Married","House / apartment",-15825,-3720,1,1,1,0,"Managers",2
"496",5068390,0,"F","Y","Y",1,270000,"Working","Higher education","Separated","House / apartment",-14052,-140,1,0,1,1,"Sales staff",2
"427",5052739,0,"F","N","Y",2,180000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-10454,-505,1,0,0,1,"High skill tech staff",4
"951",5036765,0,"F","N","N",1,112500,"Working","Secondary / secondary special","Married","House / apartment",-12834,-1224,1,0,0,1,"Laborers",3
"1027",5091222,0,"F","N","Y",3,135000,"Working","Secondary / secondary special","Married","House / apartment",-14838,-1539,1,0,0,0,"Laborers",5
"481",5092164,0,"F","Y","Y",0,45900,"Pensioner","Secondary / secondary special","Widow","House / apartment",-20282,365243,1,0,1,0,"",1
"874",5149413,0,"F","N","Y",2,315000,"Commercial associate","Higher education","Married","House / apartment",-10937,-168,1,0,1,0,"Managers",4
"275",5009074,0,"F","Y","Y",1,450000,"State servant","Higher education","Married","House / apartment",-17726,-708,1,0,1,1,"Core staff",3
"1233",5028302,0,"M","Y","Y",0,360000,"Commercial associate","Incomplete higher","Married","House / apartment",-19834,-477,1,0,0,0,"Managers",2
"1193",5091101,0,"M","N","Y",0,198000,"Pensioner","Higher education","Married","House / apartment",-24662,365243,1,0,0,0,"",2
"1016",5136985,0,"M","Y","N",0,247500,"Working","Secondary / secondary special","Single / not married","House / apartment",-12340,-3334,1,1,0,0,"Managers",1
"1454",5068233,0,"M","N","Y",1,112500,"State servant","Secondary / secondary special","Married","House / apartment",-13885,-232,1,0,0,0,"Laborers",3
"416",5143360,0,"F","N","Y",0,126000,"Working","Secondary / secondary special","Married","House / apartment",-22811,-2234,1,1,1,0,"High skill tech staff",2
"1481",5054775,0,"M","N","Y",0,225000,"Working","Secondary / secondary special","Married","House / apartment",-21362,-1520,1,0,0,0,"Laborers",2
"1280",5024038,0,"F","N","N",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-15459,-642,1,0,0,0,"Sales staff",2
"519",5137407,0,"F","N","N",0,157500,"Working","Higher education","Separated","House / apartment",-17237,-3000,1,0,0,0,"Medicine staff",1
"1460",5068324,0,"F","N","Y",0,171000,"Working","Higher education","Married","House / apartment",-18348,-3853,1,0,0,0,"High skill tech staff",2
"277",5143019,0,"M","N","N",0,270000,"Working","Secondary / secondary special","Married","With parents",-11768,-622,1,1,1,0,"Laborers",2
"884",5067832,0,"F","Y","Y",0,315000,"Working","Higher education","Married","House / apartment",-21377,-577,1,0,0,1,"",2
"957",5126021,0,"F","N","N",1,112500,"Working","Secondary / secondary special","Civil marriage","House / apartment",-14788,-2661,1,1,1,0,"Core staff",3
"1411",5041540,0,"F","N","Y",1,135000,"Pensioner","Secondary / secondary special","Civil marriage","House / apartment",-19295,365243,1,0,0,0,"",3
"1291",5046183,0,"F","N","Y",2,115200,"Commercial associate","Secondary / secondary special","Married","House / apartment",-14876,-716,1,0,0,0,"Laborers",4
"1259",5148573,0,"F","N","Y",0,81000,"Pensioner","Secondary / secondary special","Married","House / apartment",-20848,365243,1,0,0,0,"",2
"374",5116818,0,"M","N","Y",0,85500,"State servant","Secondary / secondary special","Separated","Co-op apartment",-16542,-8737,1,1,1,0,"Core staff",1
"477",5018461,0,"F","N","Y",1,166500,"Working","Secondary / secondary special","Married","House / apartment",-20208,-8033,1,0,1,0,"",3
"604",5125928,0,"M","N","Y",1,135000,"Working","Secondary / secondary special","Married","House / apartment",-11729,-652,1,0,0,0,"Laborers",3
"1110",5022612,0,"M","Y","Y",1,202500,"Working","Secondary / secondary special","Married","House / apartment",-10144,-825,1,0,0,0,"Laborers",3
"470",5010203,0,"M","Y","Y",0,135000,"Working","Lower secondary","Married","With parents",-9981,-1866,1,0,0,1,"Laborers",2
"885",5090995,0,"M","Y","Y",0,405000,"Working","Higher education","Married","House / apartment",-10323,-2622,1,1,1,1,"Managers",2
"529",5052755,0,"M","N","Y",0,225000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-10570,-1175,1,0,0,0,"Managers",2
"1189",5044940,0,"M","N","Y",2,360000,"State servant","Higher education","Married","House / apartment",-16027,-5639,1,0,1,0,"Managers",4
"591",5090788,0,"F","Y","Y",1,225000,"Commercial associate","Secondary / secondary special","Separated","House / apartment",-10909,-1374,1,0,0,0,"Managers",2
"1537",5033447,0,"F","Y","N",0,112500,"Commercial associate","Higher education","Married","House / apartment",-10828,-657,1,0,0,0,"Core staff",2
"193",5097169,0,"F","N","N",0,90000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-10731,-885,1,0,0,0,"Sales staff",1
"1469",5010202,0,"M","Y","Y",0,135000,"Working","Lower secondary","Married","With parents",-9981,-1866,1,0,0,1,"Laborers",2
"438",5113288,0,"F","Y","Y",2,121500,"Working","Incomplete higher","Married","House / apartment",-11327,-101,1,1,1,0,"Core staff",4
"179",5086062,0,"F","N","Y",0,135000,"State servant","Secondary / secondary special","Married","House / apartment",-20542,-9422,1,0,1,0,"Core staff",2
"340",5067982,0,"M","Y","Y",0,153000,"Working","Higher education","Separated","With parents",-20013,-7640,1,0,0,1,"Managers",1
"561",5112833,0,"F","N","Y",1,90000,"Working","Secondary / secondary special","Separated","With parents",-13200,-1017,1,0,1,1,"Sales staff",2
"306",5023261,0,"M","Y","Y",0,180000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-21202,-1696,1,0,0,0,"Drivers",2
"914",5029610,0,"F","Y","Y",0,180000,"Commercial associate","Higher education","Single / not married","House / apartment",-15161,-7140,1,0,0,0,"Core staff",1
"518",5089896,0,"F","N","Y",0,67500,"Pensioner","Higher education","Single / not married","Municipal apartment",-23694,365243,1,0,0,1,"",1
"1017",5126687,0,"F","N","Y",0,90000,"Working","Secondary / secondary special","Married","House / apartment",-19899,-3149,1,1,0,0,"",2
"586",5028280,0,"F","N","N",1,157500,"Commercial associate","Incomplete higher","Married","With parents",-11941,-2760,1,0,0,0,"",3
"1125",5146024,0,"F","N","Y",0,360000,"Commercial associate","Higher education","Married","House / apartment",-11089,-3902,1,0,1,0,"Core staff",2
"631",5095930,0,"F","N","N",0,76500,"Pensioner","Secondary / secondary special","Married","House / apartment",-20592,365243,1,0,1,0,"",2
"897",5062286,0,"M","N","Y",0,202500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-8353,-1081,1,1,0,1,"Core staff",2
"1045",5096340,0,"F","Y","N",0,153000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-23679,365243,1,0,1,0,"",1
"1046",5024670,0,"F","N","Y",1,180000,"Working","Higher education","Separated","House / apartment",-15113,-1585,1,0,0,0,"HR staff",2
"1458",5095423,0,"M","Y","Y",0,405000,"Working","Higher education","Married","House / apartment",-11723,-1830,1,1,0,1,"",2
"728",5033729,0,"M","Y","Y",0,90000,"Working","Secondary / secondary special","Married","House / apartment",-12019,-5436,1,1,1,0,"Laborers",2
"1072",5045380,0,"M","Y","Y",0,261000,"Working","Incomplete higher","Married","House / apartment",-15936,-1508,1,0,1,0,"Managers",2
"984",5046379,0,"F","N","N",0,180000,"Working","Incomplete higher","Married","House / apartment",-19558,-1904,1,0,0,0,"Laborers",2
"1148",5046093,0,"F","N","Y",0,157500,"Pensioner","Secondary / secondary special","Widow","House / apartment",-23596,365243,1,0,0,0,"",1
"964",5089596,0,"M","Y","N",0,315000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-14011,-978,1,0,0,0,"Managers",2
"1094",5091057,0,"F","N","Y",2,270000,"Commercial associate","Higher education","Married","House / apartment",-15438,-2197,1,0,0,1,"Secretaries",4
"1303",5036936,0,"F","N","Y",0,157500,"Pensioner","Secondary / secondary special","Separated","House / apartment",-22362,365243,1,0,0,0,"",1
"688",5035682,0,"F","Y","Y",0,135000,"Working","Secondary / secondary special","Civil marriage","House / apartment",-16505,-8377,1,0,0,0,"Laborers",2
"687",5079016,0,"M","Y","Y",2,9e+05,"Commercial associate","Higher education","Married","House / apartment",-9889,-1000,1,0,0,0,"Managers",4
"540",5065820,0,"M","Y","Y",1,157500,"Working","Secondary / secondary special","Married","House / apartment",NA,-2276,1,0,0,0,"Laborers",3
"372",5149150,0,"M","Y","Y",0,247500,"Working","Secondary / secondary special","Married","House / apartment",-10952,-3577,1,1,0,0,"Laborers",2
"684",5066832,0,"F","Y","Y",0,157500,"Pensioner","Lower secondary","Married","House / apartment",-21739,365243,1,0,0,0,"",2
"1432",5105577,0,"F","N","N",0,180000,"Working","Secondary / secondary special","Married","Municipal apartment",-12024,-210,1,1,1,0,"Sales staff",2
"777",5067090,0,"M","N","N",0,180000,"Working","Secondary / secondary special","Married","House / apartment",-13643,-4663,1,0,1,0,"Laborers",2
"1159",5091921,0,"F","N","Y",2,72000,"Working","Secondary / secondary special","Married","House / apartment",-15368,-5496,1,1,1,0,"Medicine staff",4
"1426",5113801,0,"F","N","Y",1,337500,"Working","Secondary / secondary special","Married","House / apartment",-12790,-3329,1,0,0,1,"Core staff",3
"1397",5021551,0,"F","N","Y",0,202500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-20870,-1583,1,0,0,0,"Medicine staff",2
"478",5096300,0,"F","N","N",1,112500,"Commercial associate","Secondary / secondary special","Married","House / apartment",-9320,-2257,1,0,0,0,"High skill tech staff",3
"799",5114061,0,"M","Y","N",1,193500,"Working","Higher education","Married","House / apartment",-17932,-3999,1,1,1,0,"",3
"1089",5062205,0,"F","N","Y",0,112500,"Commercial associate","Higher education","Married","House / apartment",-17472,-1202,1,1,1,0,"",2
"1157",5068340,0,"F","Y","Y",0,112500,"Working","Higher education","Married","House / apartment",-10101,-505,1,1,1,0,"Laborers",2
"1121",5114138,0,"F","N","N",2,180000,"State servant","Secondary / secondary special","Married","Office apartment",-11176,-2904,1,1,0,0,"Laborers",4
"1054",5100171,0,"M","Y","Y",0,450000,"Pensioner","Higher education","Married","House / apartment",-17296,365243,1,0,0,0,"",2
"1356",5148669,0,"M","Y","Y",1,810000,"Commercial associate","Incomplete higher","Civil marriage","Office apartment",-17922,-3455,1,0,0,0,"Security staff",3
"336",5117047,0,"F","N","Y",0,180000,"Pensioner","Secondary / secondary special","Widow","House / apartment",-23027,365243,1,0,0,0,"",1
"1215",5062131,0,"M","Y","Y",0,90000,"Pensioner","Secondary / secondary special","Married","House / apartment",-22129,365243,1,0,0,0,"",2
"1384",5092020,0,"F","N","Y",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-13211,-777,1,1,1,0,"Core staff",2
"189",5054058,0,"","Y","N",1,450000,"Working","Higher education","Married","House / apartment",-15045,-4686,1,0,1,0,"Managers",3
"621",5028781,0,"F","N","Y",0,135000,"Working","Secondary / secondary special","Married","House / apartment",-15836,-3034,1,0,0,0,"",2
"183",5054648,0,"F","N","Y",0,112500,"Pensioner","Secondary / secondary special","Single / not married","House / apartment",-24238,365243,1,0,0,0,"",1
"1316",5053980,0,"F","Y","N",0,108000,"Working","Secondary / secondary special","Married","With parents",-12249,-3195,1,1,0,0,"",2
"901",5051008,0,"F","N","N",1,225000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-10448,-3392,1,1,1,1,"Realty agents",3
"1114",5025181,0,"F","N","N",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-22829,-2558,1,0,0,0,"High skill tech staff",1
"800",5100373,0,"F","N","Y",2,180000,"Commercial associate","Secondary / secondary special","Married","House / apartment",-12848,-3960,1,0,0,0,"Core staff",4
"1271",5116046,0,"F","Y","Y",0,144000,"Working","Secondary / secondary special","Married","House / apartment",-13455,-2051,1,0,0,0,"Core staff",2
"725",5139823,0,"M","N","Y",0,108000,"Working","Secondary / secondary special","Married","House / apartment",-15997,-7341,1,1,1,0,"Laborers",2
